County,Population,Year
Hamilton,4715,2014
Herkimer,63744,2014
Jefferson,119103,2014
Lewis,27220,2014
Livingston,64586,2014
Madison,72369,2014
Monroe,749857,2014
Montgomery,49779,2014
Nassau,1358627,2014
Niagara,213525,2014
Oneida,232871,2014
Onondaga,468196,2014
Ontario,109707,2014
Orange,376099,2014
Orleans,41984,2014
Oswego,120913,2014
Otsego,61128,2014
Putnam,99487,2014
Rensselaer,159774,2014
Rockland,323866,2014
St Lawrence,111400,2014
Saratoga,224921,2014
Schenectady,155735,2014
Schoharie,31566,2014
Schuyler,18479,2014
Seneca,34884,2014
Steuben,98394,2014
Suffolk,1502968,2014
Sullivan,75943,2014
Tioga,49870,2014
Tompkins,104691,2014
Ulster,180445,2014
Warren,64973,2014
Washington,62372,2014
Wayne,92051,2014
Westchester,972634,2014
Wyoming,41188,2014
Yates,25208,2014
Bronx,1455444,2015
Kings,2636735,2015
New York,1644518,2015
Queens,2339150,2015
Richmond,474558,2015
Albany,309381,2015
Allegany,47462,2015
Broome,196567,2015
Cattaraugus,77922,2015
Cayuga,78288,2015
Chautauqua,130779,2015
Chemung,87071,2015
Chenango,48844,2015
Clinton,81251,2015
Columbia,61509,2015
Cortland,48494,2015
Delaware,46053,2015
Dutchess,295754,2015
Erie,922578,2015
Essex,38478,2015
Franklin,50660,2015
Fulton,53992,2015
Genesee,58937,2015
Greene,47625,2015
Hamilton,4712,2015
Herkimer,63100,2015
Jefferson,117635,2015
Lewis,26957,2015
Livingston,64717,2015
Madison,71849,2015
Monroe,749600,2015
Montgomery,49642,2015
Nassau,1361350,2015
Niagara,212652,2015
Oneida,232500,2015
Onondaga,468463,2015
Ontario,109561,2015
Orange,377647,2015
Orleans,41582,2015
Oswego,120146,2015
Otsego,60636,2015
Putnam,99042,2015
Rensselaer,160266,2015
Rockland,326037,2015
St Lawrence,111007,2015
Saratoga,226249,2015
Schenectady,154604,2015
Schoharie,31330,2015
Schuyler,18186,2015
Seneca,34833,2015
Steuben,97631,2015
Suffolk,1501587,2015
Sullivan,74877,2015
Tioga,49453,2015
Tompkins,104926,2015
Ulster,180143,2015
Warren,64688,2015
Washington,62230,2015
Wayne,91446,2015
Westchester,976396,2015
Wyoming,41013,2015
Yates,25048,2015
Bronx,1455720,2016
Kings,2629150,2016
New York,1643734,2016
Queens,2333054,2016
Richmond,476015,2016
Albany,308846,2016
Allegany,47077,2016
Broome,195334,2016
Cattaraugus,77677,2016
Cayuga,77861,2016
Chautauqua,129504,2016
Chemung,86322,2016
Chenango,48579,2016
Clinton,81073,2016
Columbia,60989,2016
Cortland,48070,2016
Delaware,45523,2016
Dutchess,294473,2016
Erie,921046,2016
Essex,38102,2016
Franklin,50409,2016
Fulton,53828,2016
Genesee,58482,2016
Greene,47508,2016
Hamilton,4542,2016
Herkimer,62613,2016
Jefferson,114006,2016
Lewis,26865,2016
Livingston,64257,2016
Madison,71329,2016
Monroe,747727,2016
Montgomery,49276,2016
Nassau,1361500,2016
Niagara,211758,2016
Oneida,231190,2016
Onondaga,466194,2016
Ontario,109828,2016
Orange,379210,2016
Orleans,41346,2016
Oswego,118987,2016
Otsego,60097,2016
Putnam,98900,2016
Rensselaer,160070,2016
Rockland,326780,2016
St Lawrence,110038,2016
Saratoga,227053,2016
Schenectady,154553,2016
Schoharie,31317,2016
Schuyler,18099,2016
Seneca,34777,2016
Steuben,96940,2016
Suffolk,1492583,2016
Sullivan,74801,2016
Tioga,48760,2016
Tompkins,104871,2016
Ulster,179225,2016
Warren,64567,2016
Washington,61800,2016
Wayne,90798,2016
Westchester,974542,2016
Wyoming,40791,2016
Yates,24923,2016
Bronx,1471160,2017
Kings,2648771,2017
New York,1664727,2017
Queens,2358582,2017
Richmond,479458,2017
Albany,309612,2017
Allegany,46894,2017
Broome,193639,2017
Cattaraugus,77348,2017
Cayuga,77603,2017
Chautauqua,129046,2017
Chemung,85557,2017
Chenango,47863,2017
Clinton,80980,2017
Columbia,60604,2017
Cortland,47786,2017
Delaware,45001,2017
Dutchess,295568,2017
Erie,925528,2017
Essex,37956,2017
Franklin,51116,2017
Fulton,53877,2017
Genesee,57956,2017
Greene,47470,2017
Hamilton,4485,2017
Herkimer,62240,2017
Jefferson,114187,2017
Lewis,26551,2017
Livingston,63799,2017
Madison,70965,2017
Monroe,747642,2017
Montgomery,49258,2017
Nassau,1369514,2017
Niagara,211328,2017
Oneida,231332,2017
Onondaga,465398,2017
Ontario,109899,2017
Orange,382226,2017
Orleans,40983,2017
Oswego,118478,2017
Otsego,60094,2017
Putnam,99323,2017
Rensselaer,159722,2017
Rockland,328868,2017
St Lawrence,109623,2017
Saratoga,229869,2017
Schenectady,155565,2017
Schoharie,31420,2017
Schuyler,18000,2017
Seneca,34498,2017
Steuben,96281,2017
Suffolk,1492953,2017
Sullivan,75485,2017
Tioga,48578,2017
Tompkins,104802,2017
Ulster,179417,2017
Warren,64532,2017
Washington,61620,2017
Wayne,90670,2017
Westchester,980244,2017
Wyoming,40493,2017
Yates,24955,2017
Bronx,1432132,2018
Kings,2582830,2018
New York,1628701,2018
Queens,2278906,2018
Richmond,476179,2018
Albany,307117,2018
Allegany,46430,2018
Broome,191659,2018
Cattaraugus,76840,2018
Cayuga,77145,2018
Chautauqua,127939,2018
Chemung,84254,2018
Chenango,47536,2018
Clinton,80695,2018
Columbia,59916,2018
Cortland,47823,2018
Delaware,44527,2018
Dutchess,293718,2018
Erie,919719,2018
Essex,37300,2018
Franklin,50293,2018
Fulton,53591,2018
Genesee,57511,2018
Greene,47491,2018
Hamilton,4434,2018
Herkimer,61833,2018
Jefferson,111755,2018
Lewis,26447,2018
Livingston,63227,2018
Madison,70795,2018
Monroe,742474,2018
Montgomery,49455,2018
Nassau,1358343,2018
Niagara,210433,2018
Oneida,229577,2018
Onondaga,461809,2018
Ontario,109864,2018
Orange,381951,2018
Orleans,40612,2018
Oswego,117898,2018
Otsego,59749,2018
Putnam,98892,2018
Rensselaer,159442,2018
Rockland,325695,2018
St Lawrence,108047,2018
